Hero Name,Facet,Win Rate,No Matches,KDA
techies,Spleen's Secret Sauce,41.82%,"172,859",2.13
morphling,Ebb,44.92%,"172,766",2.40
clockwerk,Expanded Armature,55.54%,"172,249",3.29
grimstroke,Inkstigate,48.75%,"172,120",2.98
lifestealer,Unfettered,44.76%,"172,038",2.48
spectre,Twist the Knife,53.46%,"171,694",3.85
lycan,Spirit Wolves,49.92%,"168,880",3.00
enigma,Splitting Image,51.27%,"167,798",2.59
venomancer,Plague Carrier,41.86%,"167,788",2.45
underlord,Demon's Reach,52.72%,"166,130",2.89
anti-mage,Magebane's Mirror,47.74%,"166,109",2.55
spectre,Forsaken,49.30%,"162,921",3.32
abaddon,Mephitic Shroud,56.17%,"161,972",3.41
dark-willow,Thorny Thicket,50.86%,"161,801",3.19
winter-wyvern,Dragon Sight,52.72%,"159,823",2.83
techies,Squee's Scope,40.34%,"153,710",2.20
storm-spirit,Static Slide,50.39%,"151,703",3.34
kunkka,High Tide,44.72%,"151,652",2.64
mirana,Solar Flare,44.88%,"150,763",2.78
dazzle,Nothl Boon,49.76%,"150,450",2.67
dark-seer,Quick Wit,52.37%,"149,913",3.05
natures-prophet,Ironwood Treant,42.09%,"147,930",2.05
mars,Blood Sport,48.42%,"145,670",2.81
pangolier,Double Jump,39.29%,"142,079",2.31
gyrocopter,Afterburner,46.93%,"140,529",2.58
tidehunter,Krill Eater,50.62%,"140,308",2.85
dragon-knight,Corrosive Dragon,55.38%,"139,106",3.20
bane,Dream Stalker,47.83%,"138,853",2.81
doom,Gluttony,46.66%,"137,662",2.58
ancient-apparition,Exposure,50.07%,"135,571",2.89
dragon-knight,Fire Dragon,49.25%,"134,889",2.71
treant-protector,Sapling,50.00%,"132,167",3.22
outworld-destroyer,Obsidian Decimator,51.77%,"132,107",2.77
dawnbreaker,Solar Charged,48.32%,"130,254",2.82
sven,Heavy Plate,46.98%,"128,684",2.36
tinker,Repair Bots,40.65%,"128,535",2.56
centaur-warrunner,Horsepower,55.90%,"124,581",3.15
spirit-breaker,Imbalanced,47.39%,"122,946",2.97
clockwerk,Hookup,51.18%,"122,759",2.90
dragon-knight,Frost Dragon,54.78%,"122,325",3.22
mars,Victory Feast,46.09%,"120,991",2.62
oracle,Clairvoyant Cure,54.13%,"120,922",3.47
faceless-void,Time Zone,45.71%,"120,415",3.18
sven,Wrath of God,48.46%,"120,238",2.45
omniknight,Omnipresent,45.79%,"119,725",2.26
outworld-destroyer,Overwhelming Devourer,52.56%,"119,689",2.94
tidehunter,Kraken Swell,49.94%,"119,401",2.92
